Id,Predicted
0,803.0439685183363
1,1049.3146963904323
2,293.64735123802603
3,782.0116711846937
4,498.5561419546809
5,2104.7498886418825
6,554.7331346981653
7,1441.7629762995375
8,132.35203264902745
9,-5.022841269088206
10,658.1543241064286
11,903.0597934031525
12,22.371979031320418
13,1917.5557011578314
14,1378.8737648906952
15,1780.2492144383357
16,176.30867406155463
17,232.05135948339364
18,779.1671675113995
19,601.7157467748268
20,1658.7690658436984
21,1088.261939601564
22,951.5261909143683
23,1237.5004709475465
24,245.4321480425958
25,1016.2841472038889
26,1290.8390546274836
27,1342.735462712092
28,310.83631665722714
29,457.9756119726234
30,572.4999792746571
31,1488.9165143579958
32,300.93964457997794
33,63.56123331983174
34,204.77297622586875
35,136.1049180507037
36,980.9784404608821
37,1408.230774628306
38,1029.20031998866
39,59.00899299019022
40,181.10910676663246
41,1230.7745628125872
42,2128.980086537041
43,948.9403840212796
44,1728.613976572782
45,151.03560301682424
46,709.8447367967578
47,1842.2887078127035
48,2000.0716166852778
49,1171.529637226806
50,1447.385851267552
51,453.4437502228199
52,1095.9779075089223
53,381.83009629147324
54,1953.078438687409
55,1270.0371681389838
56,1661.4008015443767
57,169.54523778769254
58,93.38263303577492
59,1195.7974015874627
60,128.00176883258578
61,2190.0426874093782
62,1330.2194028496513
63,190.94027246741544
64,38.647838230594886
65,909.7550347323871
66,1082.3135810075603
67,1671.9697521297614
68,129.6989692238883
69,294.7396441527767
70,70.6374815142499
71,1320.8287825387192
72,2.5909371924848212
73,85.56532795122581
74,-2.6322963658960266
75,1415.3382602573868
76,2277.7616017071655
77,1480.9094804081853
78,347.339945363692
79,367.932840419763
80,1886.6774620726803
81,1037.0351866226486
82,1928.402623429474
83,241.80034303625038
84,1354.6432810859678
85,931.4541698394123
86,246.18211897940702
87,-6.022564598494483
88,676.787969994136
89,1237.655634763013
90,182.79403365497765
91,177.91782793340562
92,791.9988566232724
93,919.4413720816924
94,994.7030203334282
95,1100.7429681529927
96,2314.495148866312
97,866.2446347100398
98,890.883036735797
99,175.39180354646567
100,251.79186176659124
101,99.35982298394087
102,1836.1575935126057
103,1140.380868850516
104,188.24990926777912
105,133.2766152845221
106,143.0954002603078
107,290.2922739722106
108,67.27495068269174
109,483.1009646372511
110,1585.7016741408786
111,144.11466459422962
112,297.26580775994705
113,165.400005650012
114,123.23651090046909
115,86.84313433723754
116,496.6949117961286
117,2258.1387673849586
118,380.5214100567776
119,568.1941866961907
120,987.4586199680821
121,469.73688496760644
122,258.85993835288355
123,231.87586969027333
124,228.7262747761234
125,792.5460654299886
126,678.2473827433723
127,578.997686135
128,2327.097819061699
129,1674.4088178412933
130,67.86140476712723
131,1154.8364922711125
132,675.8065363163595
133,877.4600486417457
134,1425.2838566826515
135,91.07459495327969
